6/3/2020 | 13/12/54 | Igrac: V01D | IP: 192.168.1.2 
24/10/2020 | 19/17/58 | Igrac: Meneka_Danteh | IP: 141.98.103.132 
24/10/2020 | 19/17/59 | Igrac: Berok_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/17/59 | Igrac: Cinsi_Kosflovic | IP: 141.98.103.132 
24/10/2020 | 19/17/59 | Igrac: Laile_Auslander | IP: 141.98.103.132 
24/10/2020 | 19/18/1 | Igrac: Cinsi_Potix | IP: 141.98.103.132 
24/10/2020 | 19/18/1 | Igrac: Marsok_Pawno | IP: 141.98.103.132 
24/10/2020 | 19/18/1 | Igrac: Banrok_Dracin | IP: 141.98.103.132 
24/10/2020 | 19/18/2 | Igrac: Lufut_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/18/2 | Igrac: Ronsi_Original | IP: 141.98.103.132 
24/10/2020 | 19/18/2 | Igrac: Lafara_Lule | IP: 141.98.103.132 
24/10/2020 | 19/18/3 | Igrac: Mirara_Coco | IP: 141.98.103.132 
24/10/2020 | 19/18/3 | Igrac: Kof_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/18/4 | Igrac: Mirtek_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/18/5 | Igrac: Lucko_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/18/5 | Igrac: Micko_Janos | IP: 141.98.103.132 
24/10/2020 | 19/18/5 | Igrac: Nifut_Majkovic | IP: 141.98.103.132 
24/10/2020 | 19/18/6 | Igrac: Laonuj_Usix | IP: 141.98.103.132 
24/10/2020 | 19/18/7 | Igrac: Menle_Auslander | IP: 141.98.103.132 
24/10/2020 | 19/18/7 | Igrac: Lafmile_Usix | IP: 141.98.103.132 
24/10/2020 | 19/18/8 | Igrac: Pacho_Thug | IP: 93.86.144.136 
24/10/2020 | 19/18/9 | Igrac: Menile_Original | IP: 141.98.103.132 
24/10/2020 | 19/18/9 | Igrac: Mirlip_Escobar | IP: 141.98.103.132 
24/10/2020 | 19/18/9 | Igrac: Kos_Lule | IP: 141.98.103.132 
24/10/2020 | 19/18/10 | Igrac: Didcko_Lais | IP: 141.98.103.132 
24/10/2020 | 19/18/10 | Igrac: Beile_Danteh | IP: 141.98.103.132 
24/10/2020 | 19/18/10 | Igrac: Lafle_Coco | IP: 141.98.103.132 
24/10/2020 | 19/18/12 | Igrac: Cinlos_Flox | IP: 141.98.103.132 
24/10/2020 | 19/18/12 | Igrac: Lalip_Lule | IP: 141.98.103.132 
24/10/2020 | 19/18/12 | Igrac: Mensok_Force | IP: 141.98.103.132 
24/10/2020 | 19/18/13 | Igrac: Mole_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/18/14 | Igrac: Lalok_Mixer | IP: 141.98.103.132 
24/10/2020 | 19/18/14 | Igrac: Marko_Jovanovic | IP: 141.98.103.132 
24/10/2020 | 19/18/15 | Igrac: Marmil_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/18/16 | Igrac: Niriki_Miller | IP: 141.98.103.132 
24/10/2020 | 19/18/16 | Igrac: Bogtik_Senju | IP: 141.98.103.132 
24/10/2020 | 19/18/17 | Igrac: Ronfut_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/18/17 | Igrac: Olacin_Miller | IP: 141.98.103.132 
24/10/2020 | 19/18/18 | Igrac: Bemile_Auslander | IP: 141.98.103.132 
24/10/2020 | 19/18/19 | Igrac: Bojtik_Coco | IP: 141.98.103.132 
24/10/2020 | 19/18/20 | Igrac: Lucko_Usix | IP: 141.98.103.132 
24/10/2020 | 19/18/21 | Igrac: Bojsara_Usix | IP: 141.98.103.132 
24/10/2020 | 19/18/27 | Igrac: Brandi_Love | IP: 95.168.121.78 
24/10/2020 | 19/18/33 | Igrac: Kosra_Bakugan | IP: 141.98.103.132 
24/10/2020 | 19/18/34 | Igrac: Cinlok_Lais | IP: 141.98.103.132 
24/10/2020 | 19/18/34 | Igrac: Darosaka_Roo | IP: 141.98.103.132 
24/10/2020 | 19/18/36 | Igrac: Jana_Capone | IP: 141.98.103.132 
24/10/2020 | 19/18/36 | Igrac: Lafeka_Escobar | IP: 141.98.103.132 
24/10/2020 | 19/18/36 | Igrac: Banaci_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/18/37 | Igrac: Lacin_Flox | IP: 141.98.103.132 
24/10/2020 | 19/18/39 | Igrac: Misok_Lule | IP: 141.98.103.132 
24/10/2020 | 19/18/39 | Igrac: Anchez_Wright | IP: 109.92.44.25 
24/10/2020 | 19/18/39 | Igrac: Lucko_Roo | IP: 141.98.103.132 
24/10/2020 | 19/18/41 | Igrac: Lafra_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/18/47 | Igrac: Miroslav | IP: 46.239.15.17 
24/10/2020 | 19/18/50 | Igrac: Gabi_Wright | IP: 109.245.33.138 
24/10/2020 | 19/18/53 | Igrac: Lana_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/18/54 | Igrac: Mar_Force | IP: 141.98.103.132 
24/10/2020 | 19/18/54 | Igrac: Cimriki_Majkovic | IP: 141.98.103.132 
24/10/2020 | 19/18/54 | Igrac: Kostik_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/18/54 | Igrac: Cimka_Roo | IP: 141.98.103.132 
24/10/2020 | 19/18/55 | Igrac: Fina_Miljkovic | IP: 141.98.103.132 
24/10/2020 | 19/18/55 | Igrac: Bogola_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/18/55 | Igrac: Stele_Cibanovic | IP: 141.98.103.132 
24/10/2020 | 19/18/56 | Igrac: Cimbuf_Usix | IP: 141.98.103.132 
24/10/2020 | 19/18/57 | Igrac: Mialos_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/18/58 | Igrac: Molip_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/18/58 | Igrac: Bojifu_Lais | IP: 141.98.103.132 
24/10/2020 | 19/18/58 | Igrac: Beriki_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/18/59 | Igrac: Larok_Bakugan | IP: 141.98.103.132 
24/10/2020 | 19/18/59 | Igrac: Cintik_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/18/59 | Igrac: Stena_Majkovic | IP: 141.98.103.132 
24/10/2020 | 19/18/59 | Igrac: Nilok_Cibanovic | IP: 141.98.103.132 
24/10/2020 | 19/19/0 | Igrac: Cincko_Auslander | IP: 141.98.103.132 
24/10/2020 | 19/19/0 | Igrac: Cinsara_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/19/0 | Igrac: Lurif_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/19/0 | Igrac: Banlip_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/19/1 | Igrac: Kosrif_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/19/1 | Igrac: Laoola_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/19/1 | Igrac: Moosaka_Senju | IP: 141.98.103.132 
24/10/2020 | 19/19/1 | Igrac: Cinsara_Lais | IP: 141.98.103.132 
24/10/2020 | 19/19/2 | Igrac: Jasi_Danteh | IP: 141.98.103.132 
24/10/2020 | 19/19/2 | Igrac: Cin_Potix | IP: 141.98.103.132 
24/10/2020 | 19/19/2 | Igrac: Nieka_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/19/3 | Igrac: Mentek_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/3 | Igrac: Mira_Roo | IP: 141.98.103.132 
24/10/2020 | 19/19/3 | Igrac: Laoko_Auslander | IP: 141.98.103.132 
24/10/2020 | 19/19/4 | Igrac: Laflip_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/19/4 | Igrac: Filip_Carter | IP: 141.98.103.132 
24/10/2020 | 19/19/4 | Igrac: Mirrif_Jovanovic | IP: 141.98.103.132 
24/10/2020 | 19/19/4 | Igrac: Lasi_Danteh | IP: 141.98.103.132 
24/10/2020 | 19/19/5 | Igrac: Menlip_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/19/5 | Igrac: Marlos_Butigan | IP: 141.98.103.132 
24/10/2020 | 19/19/5 | Igrac: Mimil_Jovanovic | IP: 141.98.103.132 
24/10/2020 | 19/19/6 | Igrac: Stenuj_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/19/6 | Igrac: Mirrif_Original | IP: 141.98.103.132 
24/10/2020 | 19/19/6 | Igrac: Miacin_Flox | IP: 141.98.103.132 
24/10/2020 | 19/19/6 | Igrac: Bepa_Mixer | IP: 141.98.103.132 
24/10/2020 | 19/19/7 | Igrac: Laffut_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/7 | Igrac: Miola_Dracin | IP: 141.98.103.132 
24/10/2020 | 19/19/7 | Igrac: Kofpa_Potix | IP: 141.98.103.132 
24/10/2020 | 19/19/8 | Igrac: Marko_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/8 | Igrac: Cinfut_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/19/8 | Igrac: Lacko_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/19/8 | Igrac: Lacko_Pro | IP: 141.98.103.132 
24/10/2020 | 19/19/9 | Igrac: Moosaka_Flox | IP: 141.98.103.132 
24/10/2020 | 19/19/9 | Igrac: Stera_Coco | IP: 141.98.103.132 
24/10/2020 | 19/19/9 | Igrac: Olabuf_Senju | IP: 141.98.103.132 
24/10/2020 | 19/19/10 | Igrac: Marrif_Senju | IP: 141.98.103.132 
24/10/2020 | 19/19/10 | Igrac: Bojtek_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/10 | Igrac: Irfan_Delic | IP: 79.140.150.245 
24/10/2020 | 19/19/10 | Igrac: Olacin_Roo | IP: 141.98.103.132 
24/10/2020 | 19/19/11 | Igrac: Mona_Force | IP: 141.98.103.132 
24/10/2020 | 19/19/11 | Igrac: Cin_Miller | IP: 141.98.103.132 
24/10/2020 | 19/19/11 | Igrac: Marle_Majkovic | IP: 141.98.103.132 
24/10/2020 | 19/19/12 | Igrac: Marosaka_Original | IP: 141.98.103.132 
24/10/2020 | 19/19/12 | Igrac: Jaaci_Python | IP: 141.98.103.132 
24/10/2020 | 19/19/12 | Igrac: Didle_Carter | IP: 141.98.103.132 
24/10/2020 | 19/19/13 | Igrac: Jaara_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/19/13 | Igrac: Cincko_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/19/13 | Igrac: Lafriki_Miljkovic | IP: 141.98.103.132 
24/10/2020 | 19/19/14 | Igrac: Nicin_Thompson | IP: 141.98.103.132 
24/10/2020 | 19/19/14 | Igrac: Silcko_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/19/14 | Igrac: Bojcko_Force | IP: 141.98.103.132 
24/10/2020 | 19/19/15 | Igrac: Lale_Usix | IP: 141.98.103.132 
24/10/2020 | 19/19/16 | Igrac: Miasok_Danteh | IP: 141.98.103.132 
24/10/2020 | 19/19/16 | Igrac: Mirifu_Carter | IP: 141.98.103.132 
24/10/2020 | 19/19/16 | Igrac: Kosile_Otsutsuki | IP: 141.98.103.132 
24/10/2020 | 19/19/16 | Igrac: Miroslav_Diaz | IP: 46.239.15.17 
24/10/2020 | 19/19/17 | Igrac: Laocin_Senju | IP: 141.98.103.132 
24/10/2020 | 19/19/17 | Igrac: Banrok_Escobar | IP: 141.98.103.132 
24/10/2020 | 19/19/17 | Igrac: Laoeka_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/19/18 | Igrac: Kosko_Flox | IP: 141.98.103.132 
24/10/2020 | 19/19/18 | Igrac: Kofcko_Cibanovic | IP: 141.98.103.132 
24/10/2020 | 19/19/18 | Igrac: Bogrok_Miljkovic | IP: 141.98.103.132 
24/10/2020 | 19/19/19 | Igrac: Bogka_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/19/19 | Igrac: Jamil_Swartz | IP: 141.98.103.132 
24/10/2020 | 19/19/19 | Igrac: Bojsara_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/19/20 | Igrac: Luaci_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/19/20 | Igrac: Koseka_Escobar | IP: 141.98.103.132 
24/10/2020 | 19/19/20 | Igrac: Bojrok_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/19/21 | Igrac: Darola_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/19/21 | Igrac: Silcko_Mixer | IP: 141.98.103.132 
24/10/2020 | 19/19/22 | Igrac: Lafmile_Jovanovic | IP: 141.98.103.132 
24/10/2020 | 19/19/22 | Igrac: Coax_Vasquez | IP: 31.223.129.183 
24/10/2020 | 19/19/23 | Igrac: Cimrok_Miljkovic | IP: 141.98.103.132 
24/10/2020 | 19/19/23 | Igrac: Silosaka_Lais | IP: 141.98.103.132 
24/10/2020 | 19/19/23 | Igrac: Darlip_Mixer | IP: 141.98.103.132 
24/10/2020 | 19/19/24 | Igrac: Lafna_Pawno | IP: 141.98.103.132 
24/10/2020 | 19/19/24 | Igrac: Cimrif_Force | IP: 141.98.103.132 
24/10/2020 | 19/19/24 | Igrac: Marifu_Butigan | IP: 141.98.103.132 
24/10/2020 | 19/19/25 | Igrac: Jason_Remington | IP: 31.223.133.170 
24/10/2020 | 19/19/25 | Igrac: Didlos_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/19/25 | Igrac: Marifu_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/19/25 | Igrac: Jarok_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/19/26 | Igrac: Lafara_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/19/26 | Igrac: Filip_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/19/26 | Igrac: Marsara_Lule | IP: 141.98.103.132 
24/10/2020 | 19/19/28 | Igrac: Darsi_Otsutsuki | IP: 141.98.103.132 
24/10/2020 | 19/19/28 | Igrac: Cinnuj_Dev | IP: 141.98.103.132 
24/10/2020 | 19/19/28 | Igrac: Didcko_Force | IP: 141.98.103.132 
24/10/2020 | 19/19/29 | Igrac: Cinlok_Python | IP: 141.98.103.132 
24/10/2020 | 19/19/29 | Igrac: Marle_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/29 | Igrac: Bogcko_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/19/30 | Igrac: Marsara_Majkovic | IP: 141.98.103.132 
24/10/2020 | 19/19/31 | Igrac: Laoeka_Capone | IP: 141.98.103.132 
24/10/2020 | 19/19/31 | Igrac: Olariki_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/32 | Igrac: Laoile_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/19/32 | Igrac: Bojsara_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/19/32 | Igrac: Dar_Capone | IP: 141.98.103.132 
24/10/2020 | 19/19/34 | Igrac: Cimsara_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/19/34 | Igrac: Cinosaka_Coco | IP: 141.98.103.132 
24/10/2020 | 19/19/34 | Igrac: Nira_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/36 | Igrac: Banfut_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/36 | Igrac: Darola_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/19/36 | Igrac: Fimile_Lule | IP: 141.98.103.132 
24/10/2020 | 19/19/37 | Igrac: Bojifu_Senju | IP: 141.98.103.132 
24/10/2020 | 19/19/37 | Igrac: Cinsi_Auslander | IP: 141.98.103.132 
24/10/2020 | 19/19/38 | Igrac: Cimfut_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/19/38 | Igrac: Dar_Escobar | IP: 141.98.103.132 
24/10/2020 | 19/19/38 | Igrac: Bog_Force | IP: 141.98.103.132 
24/10/2020 | 19/19/38 | Igrac: Daraci_Swartz | IP: 141.98.103.132 
24/10/2020 | 19/19/38 | Igrac: Kospa_Kosflovic | IP: 141.98.103.132 
24/10/2020 | 19/19/39 | Igrac: Didbuf_Pawno | IP: 141.98.103.132 
24/10/2020 | 19/19/40 | Igrac: Didko_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/40 | Igrac: Laolok_Majkovic | IP: 141.98.103.132 
24/10/2020 | 19/19/40 | Igrac: Jasok_Python | IP: 141.98.103.132 
24/10/2020 | 19/19/41 | Igrac: Blazic_Destigo | IP: 212.200.181.67 
24/10/2020 | 19/19/42 | Igrac: Didcin_Ryn | IP: 141.98.103.132 
24/10/2020 | 19/19/42 | Igrac: Jarif_Kosflovic | IP: 141.98.103.132 
24/10/2020 | 19/19/42 | Igrac: Darcin_Dinner | IP: 141.98.103.132 
24/10/2020 | 19/19/43 | Igrac: Kerim_Bro | IP: 77.77.217.37 
24/10/2020 | 19/19/44 | Igrac: Lafcko_Auslander | IP: 141.98.103.132 
24/10/2020 | 19/19/45 | Igrac: Marosaka_Mixer | IP: 141.98.103.132 
24/10/2020 | 19/19/46 | Igrac: Stesara_Swartz | IP: 141.98.103.132 
24/10/2020 | 19/19/46 | Igrac: Cinko_Original | IP: 141.98.103.132 
24/10/2020 | 19/19/46 | Igrac: Luola_Python | IP: 141.98.103.132 
24/10/2020 | 19/19/47 | Igrac: Kosko_Otsutsuki | IP: 141.98.103.132 
24/10/2020 | 19/19/47 | Igrac: Nieka_Otsutsuki | IP: 141.98.103.132 
24/10/2020 | 19/19/47 | Igrac: Marfut_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/19/48 | Igrac: Marnuj_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/19/49 | Igrac: Cimsi_Majkovic | IP: 141.98.103.132 
24/10/2020 | 19/19/49 | Igrac: Jasara_Markovic | IP: 141.98.103.132 
24/10/2020 | 19/19/50 | Igrac: Mehmed_Sindjelic | IP: 185.69.31.241 
24/10/2020 | 19/19/50 | Igrac: Silile_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/20/6 | Igrac: Lafle_Dev | IP: 141.98.103.132 
24/10/2020 | 19/20/6 | Igrac: Darifu_Flox | IP: 141.98.103.132 
24/10/2020 | 19/20/6 | Igrac: Lafle_Swartz | IP: 141.98.103.132 
24/10/2020 | 19/20/10 | Igrac: Lasi_Bakugan | IP: 141.98.103.132 
24/10/2020 | 19/20/10 | Igrac: Moifu_Wilson | IP: 141.98.103.132 
24/10/2020 | 19/20/13 | Igrac: Darka_Carter | IP: 141.98.103.132 
24/10/2020 | 19/20/14 | Igrac: Cinna_Butigan | IP: 141.98.103.132 
24/10/2020 | 19/20/15 | Igrac: Monuj_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/20/16 | Igrac: Stemil_Kosflovic | IP: 141.98.103.132 
24/10/2020 | 19/20/16 | Igrac: Mensara_Carter | IP: 141.98.103.132 
24/10/2020 | 19/20/16 | Igrac: Cincin_Janos | IP: 141.98.103.132 
24/10/2020 | 19/20/16 | Igrac: Mirlip_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/20/17 | Igrac: Menaci_Escobar | IP: 141.98.103.132 
24/10/2020 | 19/20/17 | Igrac: Miko_Pawno | IP: 141.98.103.132 
24/10/2020 | 19/20/17 | Igrac: Didna_Thompson | IP: 141.98.103.132 
24/10/2020 | 19/20/17 | Igrac: Niile_Lais | IP: 141.98.103.132 
24/10/2020 | 19/20/18 | Igrac: Bojlip_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/20/18 | Igrac: Bojmile_Jokic | IP: 141.98.103.132 
24/10/2020 | 19/20/18 | Igrac: Mirfut_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/20/19 | Igrac: Morif_Pro | IP: 141.98.103.132 
24/10/2020 | 19/20/19 | Igrac: Mifut_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/20/19 | Igrac: Miarok_Jovanovic | IP: 141.98.103.132 
24/10/2020 | 19/20/19 | Igrac: Nira_Butigan | IP: 141.98.103.132 
24/10/2020 | 19/20/20 | Igrac: Bera_Janos | IP: 141.98.103.132 
24/10/2020 | 19/20/20 | Igrac: Cimmil_Python | IP: 141.98.103.132 
24/10/2020 | 19/20/20 | Igrac: Kofrif_Cibanovic | IP: 141.98.103.132 
24/10/2020 | 19/20/21 | Igrac: Olanuj_Dracin | IP: 141.98.103.132 
24/10/2020 | 19/20/21 | Igrac: Molip_Pawno | IP: 141.98.103.132 
24/10/2020 | 19/20/21 | Igrac: Moile_Johnson | IP: 141.98.103.132 
24/10/2020 | 19/20/22 | Igrac: Filip_Thompson | IP: 141.98.103.132 
24/10/2020 | 19/20/22 | Igrac: Marriki_Kosflovic | IP: 141.98.103.132 
24/10/2020 | 19/20/22 | Igrac: Menka_Lakic | IP: 141.98.103.132 
24/10/2020 | 19/20/22 | Igrac: Banka_Butigan | IP: 141.98.103.132 
24/10/2020 | 19/20/23 | Igrac: Lafle_Force | IP: 141.98.103.132 
24/10/2020 | 19/20/23 | Igrac: Cika_Suki | IP: 109.175.102.111 
24/10/2020 | 19/20/24 | Igrac: Jaeka_Usix | IP: 141.98.103.132 
24/10/2020 | 19/20/24 | Igrac: Jaola_Capone | IP: 141.98.103.132 
24/10/2020 | 19/20/24 | Igrac: Brandi_Love | IP: 95.168.121.78 
24/10/2020 | 19/20/25 | Igrac: Laoile_Miljkovic | IP: 141.98.103.132 
24/10/2020 | 19/20/25 | Igrac: Kofnuj_Danteh | IP: 141.98.103.132 
24/10/2020 | 19/20/25 | Igrac: Lanuj_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/20/26 | Igrac: Bogrok_Pawno | IP: 141.98.103.132 
24/10/2020 | 19/20/26 | Igrac: Kofrok_Cappone | IP: 141.98.103.132 
24/10/2020 | 19/20/26 | Igrac: Darsara_Roo | IP: 141.98.103.132 
24/10/2020 | 19/20/26 | Igrac: Cinmil_Original | IP: 141.98.103.132 
24/10/2020 | 19/20/27 | Igrac: Beeka_Pavlovic | IP: 141.98.103.132 
24/10/2020 | 19/20/27 | Igrac: Cineka_Usix | IP: 141.98.103.132 
24/10/2020 | 19/20/34 | Igrac: Anastasia_Steele | IP: 77.77.222.218 
24/10/2020 | 19/20/38 | Igrac: Darsi_Kosflovic | IP: 141.98.103.132 
24/10/2020 | 19/20/39 | Igrac: Marsok_Mixer | IP: 141.98.103.132 
24/10/2020 | 19/20/39 | Igrac: Cimola_Pro | IP: 141.98.103.132 
24/10/2020 | 19/20/40 | Igrac: Silosaka_Thompson | IP: 141.98.103.132 
24/10/2020 | 19/20/41 | Igrac: Laeka_Lule | IP: 141.98.103.132 
24/10/2020 | 19/20/42 | Igrac: Didbuf_Roo | IP: 141.98.103.132 
24/10/2020 | 19/20/45 | Igrac: Andrea_Diaz | IP: 77.243.31.108 
24/10/2020 | 19/20/48 | Igrac: Antonio_Piciguz | IP: 193.216.177.27 
24/10/2020 | 19/21/1 | Igrac: Tebrix_Korely | IP: 31.176.227.158 
24/10/2020 | 19/21/10 | Igrac: Jack_Winsterr | IP: 77.243.29.164 
24/10/2020 | 19/21/10 | Igrac: Marc_Castello | IP: 109.175.102.173 
24/10/2020 | 19/21/18 | Igrac: Nord_Lynx | IP: 141.98.103.132 
24/10/2020 | 19/21/19 | Igrac: Mia_Khalifa | IP: 93.139.41.184 
24/10/2020 | 19/21/25 | Igrac: Gabi_Wright | IP: 109.245.33.138 
24/10/2020 | 19/21/41 | Igrac: Blazic_Destigo | IP: 212.200.181.67 
24/10/2020 | 19/22/12 | Igrac: Mehmed_Sindjelic | IP: 185.69.31.241 
24/10/2020 | 19/22/33 | Igrac: Dillinger_Nelson | IP: 77.77.217.126 
24/10/2020 | 19/22/39 | Igrac: Aleksandar_Shaolin | IP: 212.200.181.156 
24/10/2020 | 19/23/15 | Igrac: Dragan_Cappone | IP: 185.39.0.170 
24/10/2020 | 19/23/17 | Igrac: Olxx_Pacowsky | IP: 109.175.105.135 
24/10/2020 | 19/23/21 | Igrac: Mia_Malkova | IP: 109.92.122.4 
24/10/2020 | 19/23/38 | Igrac: Coax_Vasquez | IP: 31.223.129.183 
24/10/2020 | 19/23/41 | Igrac: Emir_Vercetti | IP: 77.78.234.170 
24/10/2020 | 19/23/50 | Igrac: Kerim_Bro | IP: 77.77.217.37 
24/10/2020 | 19/23/58 | Igrac: Haskic_Nelson | IP: 77.78.225.107 
24/10/2020 | 19/24/2 | Igrac: Aldiin_Smith | IP: 185.37.27.148 
24/10/2020 | 19/24/5 | Igrac: jasonR | IP: 31.223.133.170 
24/10/2020 | 19/24/6 | Igrac: Mia_Khalifa | IP: 93.139.41.184 
24/10/2020 | 19/24/37 | Igrac: Fredy_Wiliams | IP: 37.8.139.148 
24/10/2020 | 19/24/38 | Igrac: Nord_Lynx | IP: 141.98.103.132 
24/10/2020 | 19/24/39 | Igrac: Micko_Tutic | IP: 178.221.44.3 
24/10/2020 | 19/24/42 | Igrac: Marc_Castello | IP: 109.175.102.173 
24/10/2020 | 19/24/53 | Igrac: Cika_Suki | IP: 109.175.102.111 
24/10/2020 | 19/24/59 | Igrac: Exec_Wild | IP: 141.138.57.110 
24/10/2020 | 19/25/0 | Igrac: Mehmed_Sindjelic | IP: 185.69.31.241 
24/10/2020 | 19/25/13 | Igrac: Radovan_Boskic | IP: 178.220.212.117 
24/10/2020 | 19/25/15 | Igrac: Ivan_Moreno | IP: 178.221.183.180 
24/10/2020 | 19/25/45 | Igrac: Roma_Diaz | IP: 188.124.194.214 
24/10/2020 | 19/25/56 | Igrac: Ahmed_Pacowsky | IP: 109.175.100.129 
24/10/2020 | 19/26/6 | Igrac: Aleks_Toretto | IP: 89.111.226.35 
24/10/2020 | 19/26/15 | Igrac: Mia_Khalifa | IP: 93.139.41.184 
24/10/2020 | 19/26/42 | Igrac: El_Bratisimo | IP: 178.79.18.1 
24/10/2020 | 19/26/53 | Igrac: Daky_Haos | IP: 185.37.25.100 
24/10/2020 | 19/27/4 | Igrac: Aga_Zhao | IP: 77.46.174.77 
24/10/2020 | 19/27/45 | Igrac: Tkd_Lukin | IP: 31.217.5.165 
24/10/2020 | 19/28/59 | Igrac: Gio_Eskobar | IP: 176.67.193.199 
24/10/2020 | 19/29/9 | Igrac: Aleksandar_Shaolin | IP: 212.200.181.156 
24/10/2020 | 19/29/43 | Igrac: Stefke_Boss | IP: 188.2.23.176 
24/10/2020 | 19/29/57 | Igrac: Hasib_Pibee | IP: 94.250.20.25 
24/10/2020 | 19/30/23 | Igrac: Aljo_Diaz | IP: 185.39.1.250 
24/10/2020 | 19/30/43 | Igrac: Muhamed_Alispahic | IP: 213.91.69.83 
24/10/2020 | 19/30/57 | Igrac: Stefan_Decanski | IP: 81.24.246.76 
24/10/2020 | 19/31/39 | Igrac: Coax_Vasquez | IP: 31.223.129.183 
24/10/2020 | 19/32/0 | Igrac: Mackenzi_Wright | IP: 89.146.154.81 
24/10/2020 | 19/32/2 | Igrac: Jalok_Otsutsuki | IP: 85.10.56.197 
24/10/2020 | 19/32/3 | Igrac: Mirrok_Swartz | IP: 85.10.56.197 
24/10/2020 | 19/32/3 | Igrac: Miasara_Thompson | IP: 85.10.56.197 
24/10/2020 | 19/32/4 | Igrac: Miariki_Thompson | IP: 85.10.56.197 
24/10/2020 | 19/32/4 | Igrac: Nile_Dev | IP: 85.10.56.197 
24/10/2020 | 19/32/4 | Igrac: Belos_Cibanovic | IP: 85.10.56.197 
24/10/2020 | 19/32/5 | Igrac: Kosle_Mixer | IP: 85.10.56.197 
24/10/2020 | 19/32/5 | Igrac: Bogifu_Miljkovic | IP: 85.10.56.197 
24/10/2020 | 19/32/5 | Igrac: Bogbuf_Dev | IP: 85.10.56.197 
24/10/2020 | 19/32/6 | Igrac: Moile_Lais | IP: 85.10.56.197 
24/10/2020 | 19/32/6 | Igrac: Morif_Pro | IP: 85.10.56.197 
